source,title,company,work_format,requirements,salary
Habr Career,Ищем Data Scientist,Top Selection,Офис / Гибрид,"Python, SQL",260000
Habr Career,Стажер в Data направление,КОРУС Консалтинг,Офис / Гибрид,"SQL, Python, Базы данных, Анализ данных",190000
Habr Career,Инженер поддержки данных (Data Steward),Cloud.ru,Офис / Гибрид,"PostgreSQL, Microsoft SQL",300000
Habr Career,Стажер-инженер данных BI (Data Engineer),ИТ-компания «Лоция»,Офис / Гибрид,"SQL, Python, Алгоритмы и структуры данных",270000
Habr Career,BI-разработчик / Data-инженер / Проектная работа / АУТСТАФФ,Extyl,Офис / Гибрид,"SQL, Python, Apache Airflow, Qlik Sense, QlikView, PowerBI, Tableau",100000
Habr Career,Data-инженер,Джетлин,Офис / Гибрид,"Python, Pandas, NumPy, Scikit-learn, StatsModels, MatPlotLib",120000
Habr Career,Data Scientist,Top Selection,Офис / Гибрид,Python,260000
Habr Career,Data Scientist,МТС Банк,Офис / Гибрид,"SQL, Python",140000
Habr Career,Data - аналитик,Top Selection,Офис / Гибрид,SQL,280000
Habr Career,ML-инженер,Bell Integrator,Офис / Гибрид,"Docker, Apache Airflow, Базы данных, MySQL, PostgreSQL, NoSQL",160000
Habr Career,Data Scientist (Аудиоаналитика) офис в г. Новосибирск,ROBOTMIA,Офис / Гибрид,"Алгоритмы и структуры данных, Docker, Scikit-learn, TensorFlow, ClickHouse, PyTorch, Pandas, Python, SQL",140000
Habr Career,MLOps Engineer/Solution Architect,Bell Integrator,Офис / Гибрид,"Python, Apache Hadoop, Apache Kafka, CI/CD, Oracle, PostgreSQL, RabbitMQ, Greenplum, Jenkins",250000
Habr Career,Продуктовый аналитик в Путешествия,Яндекс,Офис / Гибрид,"SQL, Python",110000
Habr Career,Data Engineer real-time,PARI,Офис / Гибрид,"Apache Airflow, Apache Flink, ClickHouse, SQL, Python, Apache Kafka",210000
Habr Career,Data scientist / ML-инженер,IBS,Офис / Гибрид,"LLM, NLP",250000
Habr Career,Разработчик ETL / Data Engineer,Онлайн-кинотеатр Иви,Офис / Гибрид,"Git, ETL, Apache Airflow, ClickHouse, NoSQL, SQL, Python",160000
Habr Career,DevOps engineer / System engineer,ЛАНИТ,Офис / Гибрид,"CI/CD, Linux, Kubernetes, Базы данных",280000
Habr Career,Аналитик ML-моделей / Специалист по контролю качества (валидации) ML-данных,ЛАНИТ,Офис / Гибрид,Python,90000
Habr Career,"Scala Developer (Hadoop, ETL)",Bell Integrator,Офис / Гибрид,"Scala, Apache Hadoop",270000
Habr Career,Data QA / Инженер тестирования данных,БЮРО 1440,Офис / Гибрид,"DWH, Docker, Apache Airflow, ETL, Apache Spark, ClickHouse, SQL, Python",220000
Habr Career,"Младший разработчик (Big Data, хранилище данных)",IBS,Офис / Гибрид,SQL,140000
Habr Career,Go Developer,Vital Partners,Офис / Гибрид,"Golang, PostgreSQL",190000
Habr Career,Go Architect / Solution Architect,Vital Partners,Офис / Гибрид,Golang,150000
Habr Career,Инженер-программист 1С,Oxygen Data Centers & Clouds,Офис / Гибрид,Разработка под 1С,220000
Habr Career,Дизайнер продукта,Oxygen Data Centers & Clouds,Офис / Гибрид,"Figma Design, Scrum, UI/UX дизайн",100000
Habr Career,Инженер поддержки клиентов облачной платформы,Oxygen Data Centers & Clouds,Офис / Гибрид,"VMWare ESXi, Vmware vSphere, Linux, Unix, Администрирование Windows",210000
Habr Career,Pre-sale инженер (Cloud),Oxygen Data Centers & Clouds,Офис / Гибрид,"VMware, Hyper-V, Citrix",240000
Habr Career,Системный администратор,Oxygen Data Centers & Clouds,Офис / Гибрид,"Администрирование Windows, Linux, Active directory",110000
Habr Career,Team Lead C# (.net),Action tech,Офис / Гибрид,"Microsoft SQL, RabbitMQ, .NET, PostgreSQL, Проектирование архитектуры приложений, Apache Kafka, .NET Core, Управление людьми, Построение команды",250000
Habr Career,Системный аналитик DWH / Проектная работа / АУТСТАФФ,Extyl,Офис / Гибрид,"SQL, DWH",150000
Habr Career,Главный дата-инженер,Альфа-Банк,Офис / Гибрид,"Python, ClickHouse, CI/CD, Apache Kafka, Apache Spark, ETL, Машинное обучение",110000
Habr Career,Middle/Senior DevOps Engineer [МТС Веб Сервисы],МТС Web Services,Офис / Гибрид,"Kubernetes, Terraform",90000
Habr Career,IT Project Manager (BI Stream),Marfatech,Офис / Гибрид,"Agile, Jira, Confluence",130000
Habr Career,Бизнес-аналитик,Cloud.ru,Офис / Гибрид,"SQL, LLM",290000
Habr Career,Entry-level Python Developer (CAD Automation),Storygold AI,Офис / Гибрид,Python,170000
Habr Career,Разработчик Hadoop ,ГНИВЦ,Офис / Гибрид,"Java, Scala, Linux, Apache Spark, Apache Hadoop",110000
Habr Career,Руководитель направления позиционирования продукта,Cloud.ru,Офис / Гибрид,"DWH, LLM",290000
Habr Career,Middle+ Product Analyst (Запись в клиники),СберЗдоровье,Офис / Гибрид,"SQL, Python",250000
Habr Career,Системный администратор,Лига Цифровой Экономики,Офис / Гибрид,Apache Hadoop,190000
Habr Career,Lead Linux Kernel Developer / Ведущий инженер-программист (TATLIN.UNIFIED),YADRO,Офис / Гибрид,"Linux, Алгоритмы, Алгоритмы и структуры данных, Linux kernel, C",90000
Habr Career,MLOps Engineer/Лидер команды (ИТ-лидер команды),Aston,Офис / Гибрид,"Python, Большие данные, Apache Hadoop, Apache Spark, SQL, Базы данных",170000
Habr Career,MLOps Engineer,Aston,Офис / Гибрид,LLM,110000
Habr Career,IOS-разработчик,Okko,Офис / Гибрид,"Objective-С, Swift",210000
Habr Career,Ведущий системный аналитик,МТС Банк,Офис / Гибрид,"REST, SQL, SOAP, UML, BPMN",230000
Habr Career,Директор по разработке платформы машинного обучения,МегаФон,Офис / Гибрид,"Управление людьми, Построение команды, Управление разработкой",220000
Habr Career,Аналитик DWH ,Top Selection,Офис / Гибрид,Базы данных,150000
Habr Career,Ведущий Java-разработчик,БФТ - Холдинг,Офис / Гибрид,"Java, Spring Boot, RabbitMQ, Git, PostgreSQL",210000
Habr Career,Аналитик-разработчик (A/B тесты),Вкусно - и точка,Офис / Гибрид,SQL,300000
Habr Career,"iOS Developer (Москва, гибрид)",Bell Integrator,Офис / Гибрид,"Swift, UIKit, Objective-С",150000
Habr Career,Principal backend engineer / Python,YoloPrice,Офис / Гибрид,"Python, REST, CI/CD, Базы данных, Разработка программного обеспечения, Google Cloud Platform, Redis",280000
Habr Career,AI исследователь,Top Selection,Офис / Гибрид,"Python, NLP, LLM, LangChain, SQL",230000
Habr Career,Инженер данных ,CINIMEX,Офис / Гибрид,"SQL, Python, Алгоритмы и структуры данных, PostgreSQL, Базы данных, Apache Kafka",200000
Habr Career,CTO / Технический директор,НЛ Континент,Офис / Гибрид,"Управление разработкой, Agile",250000
Habr Career,Архитектор 1С,Top Selection,Офис / Гибрид,"1C: ERP, Разработка под 1С",220000
Habr Career,Senior QA AI-Продуктов (Python),СберЗдоровье,Офис / Гибрид,"Java, Python",280000
Habr Career,Java разработчик (СОПББ),ИТ-Холдинг Т1,Офис / Гибрид,Java,310000
Habr Career,Аналитик DWH,Джетлин,Офис / Гибрид,"SQL, BI, ClickHouse, Tableau, DWH, Greenplum",200000
Habr Career,Scrum-мастер,"АстраЗенека, Россия и Евразия",Офис / Гибрид,"Agile, Scrum, Управление проектами",160000
Habr Career,Дата аналитик,Bell Integrator,Офис / Гибрид,"SQL, Python, PostgreSQL",220000
Habr Career,Java разработчик со знанием платформы ЦФТ/ Проектная работа / АУТСТАФФ,Extyl,Офис / Гибрид,Java,200000
Habr Career,Аналитик данных,Bell Integrator,Офис / Гибрид,"SQL, Apache Hadoop, DWH, Microsoft Excel, Анализ данных",80000
Habr Career,SEO / GEO Specialist — SORTAGE,Sortage,Офис / Гибрид,"SEO-оптимизация, Разработка SEO-стратегии, Google Search Console, Яндекс.Метрика, Screaming Frog, Ahrefs, Semrush, Notion",140000
Habr Career,Разработчик DWH и BI ЕХД Oracle,МТС Банк,Офис / Гибрид,"DWH, Oracle PL/SQL, SQL, Oracle",160000
Habr Career,Java Developer,ITK academy,Офис / Гибрид,"Java, Kotlin, Git, Docker, Java Spring Framework, Apache Kafka, RabbitMQ",310000
Habr Career,SRE инженер (Kafka),Bell Integrator,Офис / Гибрид,"Linux, Apache Kafka, Kubernetes",80000
Habr Career,DevOps-инженер (стажер),МТС Банк,Офис / Гибрид,"Linux, DevOps, Bash",190000
Habr Career,Аналитик DWH,Лига Цифровой Экономики,Офис / Гибрид,"SQL, DWH",150000
Habr Career,Frontend-разработчик,МТС Банк,Офис / Гибрид,"React, HTML, TypeScript",310000
Habr Career,"Старший менеджер продукта, Москва",VK,Офис / Гибрид,"Управление проектами, Построение команды, Управление продуктами, A/B тестирование",180000
Habr Career,Специалист по кибербезопасности AI/LLM-решений,СберЗдоровье,Офис / Гибрид,LLM,260000
Habr Career,ML Lead,CHOICEIT,Офис / Гибрид,"NumPy, Python, PyTorch, Машинное обучение",240000
Habr Career,.NET разработчик / Проектная работа / АУТСТАФФ,Extyl,Офис / Гибрид,".NET, C#, .NET Core, SQL",150000
Habr Career,Продуктовый аналитик,СОГАЗ,Офис / Гибрид,"SQL, Python",100000
Habr Career,Middle/Senior PHP-разработчик (Laravel + высоконагруженные системы),RSD,Офис / Гибрид,"PHP, RabbitMQ, PostgreSQL, ClickHouse, PostGIS, Laravel",100000
Habr Career,DevOps-инженер,Bell Integrator,Офис / Гибрид,"DevOps, SRE",80000
Habr Career,Технический продуктовый маркетолог / CRM-маркетолог,ANCOR,Офис / Гибрид,"Email маркетинг, Интернет маркетинг",120000
Habr Career,Технический продуктовый маркетолог / CRM-маркетолог,ANCOR,Офис / Гибрид,"Email маркетинг, Интернет маркетинг",170000
Habr Career,Технический продуктовый маркетолог / CRM-маркетолог,ANCOR,Офис / Гибрид,"Интернет маркетинг, Работа в команде",140000
Habr Career,Старший Java/Kotlin разработчик,МТС Банк,Офис / Гибрид,"Kotlin, Spring Boot, Java, SQL, Apache Kafka",160000
Habr Career,Лидер продукта/СРО цифровых витрин Yota,МегаФон,Офис / Гибрид,Управление продуктами,140000
Habr Career,Архитектор по обеспечению цифровых инноваций (LLM),МегаФон,Офис / Гибрид,LLM,160000
Habr Career,Аналитик КХД,Bell Integrator,Офис / Гибрид,"SQL, Python, ETL, DWH",150000
Habr Career,"Python Developer (AI,ML Москва)",Bell Integrator,Офис / Гибрид,"Python, LLM, LangChain",190000
Habr Career,Младший growth-маркетолог,ANCOR,Офис / Гибрид,"Работа в команде, Информационные технологии",90000
Habr Career,Младший growth-маркетолог,ANCOR,Офис / Гибрид,"Работа в команде, Информационные технологии",80000
Habr Career,Backend-разработчик php (yii2),ТТК Диджитал,Офис / Гибрид,"PHP, Высоконагруженные системы, ООП, PostgreSQL, Oracle, Docker, Swagger, Разработка CRM, Базы данных, JavaScript",230000
Habr Career,Лидер разработки в команду расчетных продуктов B2B,ДОМ.РФ,Офис / Гибрид,Java,300000
Habr Career,Системный администратор по IT инфраструктуре,Лига Цифровой Экономики,Офис / Гибрид,"Nginx, Linux, Информационные технологии, Kubernetes, Apache Kafka",300000
Habr Career,Аналитик данных ,CINIMEX,Офис / Гибрид,Разработка ТЗ,310000
Habr Career,NLP-разработчик в Алису,Яндекс,Офис / Гибрид,NLP,120000
Habr Career,Техлид в команду высокоточных цифровых дорожных карт,Navio,Офис / Гибрид,"Python, Алгоритмы и структуры данных, Большие данные, Машинное обучение, Deep Learning, Нейронные сети, PyTorch, Компьютерное зрение",100000
Habr Career,Senior Java-разработчик (Integration),Лига Цифровой Экономики,Офис / Гибрид,"Spring Boot, Docker, Java, Kubernetes, Apache Kafka, Jenkins",190000
Habr Career,"Старший продуктовый аналитик, Москва",VK,Офис / Гибрид,"SQL, Python",150000
Habr Career,Дата инженер/Инженер по данным,Bell Integrator,Офис / Гибрид,"SQL, Python, Apache Spark, Apache Hadoop",290000
Habr Career,Разработчик на Java/Kotlin в Финтех Яндекса,Яндекс,Офис / Гибрид,"Java, Apache Kafka, PostgreSQL, Kubernetes, Redis, Kotlin, ClickHouse, Greenplum",100000
Habr Career,Архитектор стрима,IT_One,Офис / Гибрид,"Apache Hadoop, Apache Spark, ETL, REST, Apache Kafka, CI/CD",80000
Habr Career,ML-инженер,АМА,Офис / Гибрид,"Python, Git, Docker, SQL",100000
Habr Career,Аналитик BI/SQL,СОГАЗ,Офис / Гибрид,"QlikView, SQL, Python",120000
Habr Career,Ресерчер,Vital Partners,Офис / Гибрид,Английский язык,220000
Habr Career,Тимлид разработки в команду DWH,Авито,Офис / Гибрид,"Java, Apache Flink, Apache Kafka, DWH, Python, Kubernetes",210000
Habr Career,1С Аналитик,Aston,Офис / Гибрид,"1C: ERP, Высоконагруженные системы",100000
Habr Career,Machine learning Engineer,Джетлин,Офис / Гибрид,"Kubernetes, Apache Airflow, Redis, Prometheus, LLM, NLP, A/B тестирование, Python",80000
Habr Career,Платформенный SRE,Cloud.ru,Офис / Гибрид,CI/CD,120000
Habr Career, .Net Developer,Aston,Офис / Гибрид,"Apache Kafka, Microsoft SQL Server, ASP.NET WEB API, .NET",300000
Habr Career,BI Developer/BI разработчик,Aston,Офис / Гибрид,"SQL, Базы данных, Python, Pandas, Tableau, PowerBI",210000
Habr Career,Java Developer (AI / GenAI),СберСпасибо,Офис / Гибрид,JavaScript,140000
Habr Career,1C Developer,Aston,Офис / Гибрид,Разработка под 1С,160000
Habr Career,Solution Architect,"АстраЗенека, Россия и Евразия",Офис / Гибрид,"Docker, PostgreSQL, Redis, Kubernetes, REST",220000
Habr Career,Golang-разработчик в команду инструментов продуктовой аналитики,Т-Банк,Офис / Гибрид,"PostgreSQL, Apache Kafka, Apache Cassandra, Prometheus, Golang, Kubernetes",220000
Habr Career,ML Engineer,Aston,Офис / Гибрид,"Apache Kafka, Сеть хранения данных, REST, JSON, HTTP, WebSockets, RESTful API, Langgraph, Git, Docker",170000
Habr Career, QA Automation Engineer (Python),Aston,Офис / Гибрид,"Python, Apache Kafka, Apache JMeter",200000
Habr Career,Product Manager (Сегменты),СберЗдоровье,Офис / Гибрид,Проведение исследований,260000
Habr Career,Аналитик,True Engineering,Офис / Гибрид,"SQL, PostgreSQL, Системный анализ, Бизнес аналитика, BPMN, UML, Анализ требований, ER-диаграммы",140000
Habr Career,Senior AppSec-инженер,Золотое Яблоко,Офис / Гибрид,"OWASP, Тестирование на проникновение, Burp Suite",240000
Habr Career,ML-инженер,ГНИВЦ,Офис / Гибрид,"Git, PostgreSQL, Python",270000
Habr Career, Performance Engineer,Aston,Офис / Гибрид,"Apache JMeter, Linux",110000
Habr Career,Solutions Architect,Aston,Офис / Гибрид,"Микросервисная архитектура, ArchiMate, Высоконагруженные системы, REST, Apache Kafka, RabbitMQ, SOAP, Java",120000
Habr Career,"AI application security engineer, middle+/senior",Контур,Офис / Гибрид,"LLM, Linux",300000
Habr Career,CTO «Интерактивные AI-сервисы»,СберЗдоровье,Офис / Гибрид,"RnD, LLM, Agentic systems ",140000
Habr Career,Data Engineer/ MLOpsE,Bell Integrator,Офис / Гибрид,"Python, Apache Hadoop, DWH, Apache Airflow, Apache Spark, Greenplum, ETL, CI/CD",200000
Habr Career,Data Scientist,Top Selection,Офис / Гибрид,Python,220000
Habr Career,Data Engineer,Альфа-Банк,Офис / Гибрид,"Python, Apache Hadoop, Apache Spark, Apache Airflow, Apache Kafka, FastAPI",180000
Habr Career,Data engineer,Top Selection,Офис / Гибрид,Java,110000
Habr Career,Data engineer,Top Selection,Офис / Гибрид,Python,200000
Habr Career,Data инженер,Action tech,Офис / Гибрид,"Python, SQL, Apache Airflow, Greenplum, Apache Superset, PostgreSQL",140000
Habr Career,Data Engineering Manager,Циан,Офис / Гибрид,"DWH, Apache Hadoop, Python, Apache Spark, Greenplum",260000
Habr Career,Data Engineer,Top Selection,Офис / Гибрид,"Apache Hadoop, ETL",290000
Habr Career,MLOps | DataOps,GRI,Офис / Гибрид,"DWH, PostgreSQL, ClickHouse, Apache Airflow",90000
Habr Career,Разработчик GreenData,Top Selection,Офис / Гибрид,"SQL, Алгоритмы, Groovy",170000
Habr Career,"Data Analyst (Big Data, ETL, Python, SQL)",Группа Rubytech,Офис / Гибрид,"Базы данных, Python, SQL, Большие данные, Анализ данных, ETL, Greenplum",200000
Habr Career,Data analyst,ИТ-компания «Лоция»,Офис / Гибрид,PostgreSQL,280000
Habr Career,Data Scientist ,Фарпост,Офис / Гибрид,"Deep Learning, SQL, Python",130000
Habr Career,Data Steward/Менеджер по данным,"АстраЗенека, Россия и Евразия",Офис / Гибрид,"Базы данных, Алгоритмы и структуры данных",190000
Habr Career,Data Engineer (команда RecSys),Okko,Офис / Гибрид,"Apache Spark, Apache Airflow, ClickHouse, SQL, Python",190000
Habr Career,Middle / Senior Data Engineer DWH,CHOICEIT,Офис / Гибрид,"Python, PostgreSQL, Greenplum, DWH, Apache Spark, ETL, Apache Airflow, Apache Kafka",270000
Habr Career,Middle / Senior Data Engineer DWH,CHOICEIT,Офис / Гибрид,"Python, PostgreSQL, Greenplum, Apache Spark, Apache Airflow, DWH, ETL, Apache Kafka",180000
Habr Career,Ищем Data Scientist,Top Selection,Офис / Гибрид,"Python, SQL",300000
Habr Career,Инженер поддержки данных (Data Steward),Cloud.ru,Офис / Гибрид,"PostgreSQL, Microsoft SQL",140000
Habr Career,BI-разработчик / Data-инженер / Проектная работа / АУТСТАФФ,Extyl,Офис / Гибрид,"SQL, Python, Apache Airflow, Qlik Sense, QlikView, PowerBI, Tableau",80000
Habr Career,Data-инженер,Джетлин,Офис / Гибрид,"Python, Pandas, NumPy, Scikit-learn, StatsModels, MatPlotLib",80000
Habr Career,Data Scientist,Top Selection,Офис / Гибрид,Python,270000
Habr Career,Data Scientist,МТС Банк,Офис / Гибрид,"SQL, Python",200000
Habr Career,Data - аналитик,Top Selection,Офис / Гибрид,SQL,160000
Habr Career,ML-инженер,Bell Integrator,Офис / Гибрид,"Docker, Apache Airflow, Базы данных, MySQL, PostgreSQL, NoSQL",100000
Habr Career,Data Scientist (Аудиоаналитика) офис в г. Новосибирск,ROBOTMIA,Офис / Гибрид,"Алгоритмы и структуры данных, Docker, Scikit-learn, TensorFlow, ClickHouse, PyTorch, Pandas, Python, SQL",140000
Habr Career,MLOps Engineer/Solution Architect,Bell Integrator,Офис / Гибрид,"Python, Apache Hadoop, Apache Kafka, CI/CD, Oracle, PostgreSQL, RabbitMQ, Greenplum, Jenkins",130000
Habr Career,Продуктовый аналитик в Путешествия,Яндекс,Офис / Гибрид,"SQL, Python",150000
Habr Career,Data Engineer real-time,PARI,Офис / Гибрид,"Apache Airflow, Apache Flink, ClickHouse, SQL, Python, Apache Kafka",160000
Habr Career,Data scientist / ML-инженер,IBS,Офис / Гибрид,"LLM, NLP",120000
Habr Career,Разработчик ETL / Data Engineer,Онлайн-кинотеатр Иви,Офис / Гибрид,"Git, ETL, Apache Airflow, ClickHouse, NoSQL, SQL, Python",80000
Habr Career,DevOps engineer / System engineer,ЛАНИТ,Офис / Гибрид,"CI/CD, Linux, Kubernetes, Базы данных",260000
Habr Career,Аналитик ML-моделей / Специалист по контролю качества (валидации) ML-данных,ЛАНИТ,Офис / Гибрид,Python,170000
Habr Career,"Scala Developer (Hadoop, ETL)",Bell Integrator,Офис / Гибрид,"Scala, Apache Hadoop",190000
Habr Career,Data QA / Инженер тестирования данных,БЮРО 1440,Офис / Гибрид,"DWH, Docker, Apache Airflow, ETL, Apache Spark, ClickHouse, SQL, Python",310000
Habr Career,Go Developer,Vital Partners,Офис / Гибрид,"Golang, PostgreSQL",220000
Habr Career,Go Architect / Solution Architect,Vital Partners,Офис / Гибрид,Golang,290000
Habr Career,Инженер-программист 1С,Oxygen Data Centers & Clouds,Офис / Гибрид,Разработка под 1С,310000
Habr Career,Дизайнер продукта,Oxygen Data Centers & Clouds,Офис / Гибрид,"Figma Design, Scrum, UI/UX дизайн",160000
Habr Career,Инженер поддержки клиентов облачной платформы,Oxygen Data Centers & Clouds,Офис / Гибрид,"VMWare ESXi, Vmware vSphere, Linux, Unix, Администрирование Windows",270000
Habr Career,Pre-sale инженер (Cloud),Oxygen Data Centers & Clouds,Офис / Гибрид,"VMware, Hyper-V, Citrix",240000
Habr Career,Системный администратор,Oxygen Data Centers & Clouds,Офис / Гибрид,"Администрирование Windows, Linux, Active directory",240000
Habr Career,Team Lead C# (.net),Action tech,Офис / Гибрид,"Microsoft SQL, RabbitMQ, .NET, PostgreSQL, Проектирование архитектуры приложений, Apache Kafka, .NET Core, Управление людьми, Построение команды",270000
Habr Career,Системный аналитик DWH / Проектная работа / АУТСТАФФ,Extyl,Офис / Гибрид,"SQL, DWH",190000
Habr Career,Главный дата-инженер,Альфа-Банк,Офис / Гибрид,"Python, ClickHouse, CI/CD, Apache Kafka, Apache Spark, ETL, Машинное обучение",140000
Habr Career,Middle/Senior DevOps Engineer [МТС Веб Сервисы],МТС Web Services,Офис / Гибрид,"Kubernetes, Terraform",90000
Habr Career,IT Project Manager (BI Stream),Marfatech,Офис / Гибрид,"Agile, Jira, Confluence",100000
Habr Career,Бизнес-аналитик,Cloud.ru,Офис / Гибрид,"SQL, LLM",240000
Habr Career,Entry-level Python Developer (CAD Automation),Storygold AI,Офис / Гибрид,Python,120000
Habr Career,Разработчик Hadoop ,ГНИВЦ,Офис / Гибрид,"Java, Scala, Linux, Apache Spark, Apache Hadoop",240000
Habr Career,Руководитель направления позиционирования продукта,Cloud.ru,Офис / Гибрид,"DWH, LLM",310000
Habr Career,Middle+ Product Analyst (Запись в клиники),СберЗдоровье,Офис / Гибрид,"SQL, Python",240000
Habr Career,Системный администратор,Лига Цифровой Экономики,Офис / Гибрид,Apache Hadoop,240000
Habr Career,Lead Linux Kernel Developer / Ведущий инженер-программист (TATLIN.UNIFIED),YADRO,Офис / Гибрид,"Linux, Алгоритмы, Алгоритмы и структуры данных, Linux kernel, C",90000
Habr Career,MLOps Engineer/Лидер команды (ИТ-лидер команды),Aston,Офис / Гибрид,"Python, Большие данные, Apache Hadoop, Apache Spark, SQL, Базы данных",90000
Habr Career,MLOps Engineer,Aston,Офис / Гибрид,LLM,290000
Habr Career,IOS-разработчик,Okko,Офис / Гибрид,"Objective-С, Swift",300000
Habr Career,Ведущий системный аналитик,МТС Банк,Офис / Гибрид,"REST, SQL, SOAP, UML, BPMN",120000
Habr Career,Директор по разработке платформы машинного обучения,МегаФон,Офис / Гибрид,"Управление людьми, Построение команды, Управление разработкой",80000
Habr Career,Аналитик DWH ,Top Selection,Офис / Гибрид,Базы данных,80000
Habr Career,Ведущий Java-разработчик,БФТ - Холдинг,Офис / Гибрид,"Java, Spring Boot, RabbitMQ, Git, PostgreSQL",260000
Habr Career,Аналитик-разработчик (A/B тесты),Вкусно - и точка,Офис / Гибрид,SQL,90000
Habr Career,"iOS Developer (Москва, гибрид)",Bell Integrator,Офис / Гибрид,"Swift, UIKit, Objective-С",280000
Habr Career,Principal backend engineer / Python,YoloPrice,Офис / Гибрид,"Python, REST, CI/CD, Базы данных, Разработка программного обеспечения, Google Cloud Platform, Redis",190000
Habr Career,AI исследователь,Top Selection,Офис / Гибрид,"Python, NLP, LLM, LangChain, SQL",130000
Habr Career,Инженер данных ,CINIMEX,Офис / Гибрид,"SQL, Python, Алгоритмы и структуры данных, PostgreSQL, Базы данных, Apache Kafka",300000
Habr Career,CTO / Технический директор,НЛ Континент,Офис / Гибрид,"Управление разработкой, Agile",110000
Habr Career,Архитектор 1С,Top Selection,Офис / Гибрид,"1C: ERP, Разработка под 1С",300000
